Latein;Bedeutung (Deutsch);Quelle / Autor
Ab imo pectore.;"Aus tiefer Brust.; sinngemäß: Von ganzem Herzen";Lukrez, De Rerum Natura III, 57
Abyssus abyssum invocat.;Eine Tiefe ruft eine andere Tiefe nach. - d.h. Ein Irrtum zieht einen weiteren nach sich;Vulgata, Psalm 42,8
Accidit in puncto, quod non speratur in anno. - In einem Augenblick kann geschehen, was man sich in einem Jahr nicht erhofft hätte.;Wahlspruch des Habsburger Kaisers Ferdinand I;
Abducet praedam, qui occurit prior.;"Die Beute nimmt, wer früher kommt.; sinngemäß: Der frühe Vogel fängt den Wurm";
Acta est fabula.;"Das Geschehene ist eine Fabel.; entspricht Vorbei ist vorbei";Tatsache
Aegroto, dum anima est, spes est.;Für den Kranken besteht Hoffnung, solange er atmet;Vergleiche Dum spiro, spero. - Solange ich atme, hoffe ich
Alea iacta est.;Der Würfel ist geworfen. geläufige deutsche Übersetzung: Der Würfel ist gefallen;
Ad astra.;zu den Sternen;
Ad tempus concessa post tempus censetur denegata.;Was auf Zeit eingeräumt ist, wird nach Ablauf der Zeit automatisch verwehrt (Codex Justinianus 10, 61, 1;
Amantes amentes.;Liebende sind Verrückte;Terenz, Andria I, 3
Amat victoria curam (deutsch Der Sieg liebt die Vorbereitung.).;Catull, Carmina 62, 16;
Amor vincit omnia.;Liebe überwindet/besiegt alles;→ Vergil, Eklogen X, 69
Amore, more, ore, re // iunguntur amicitiae.;Durch Liebe, Sitte, Wort und Gegenstand // schließt sich der Freundschaft festes Band;
Audaces fortuna adiuvat.;Den Tapferen hilft das Glück;ähnlich bei Seneca d.J., Vergil, Terenz und Plinius d.J
"Audiatur et altera pars. (Rechtsgrundsatz; deutsch: Man höre auch die andere Seite.).";Seneca d.J., Medea 2, 2, 199;
Ave atque vale.;Sei gegrüßt und leb wohl;
Auri sacra fames. (Verfluchter Hunger nach Gold.).;Vergil: Aeneis III, 57;
Barba non facit philosophum, neque vile gerere pallium.;Ein Bart macht noch lange keinen klug, auch nicht, 'nen bill'gen Mantel zum Trug. nach Aulus Gellius;
Barbarus hic ego sum, quia non intellegor ulli.;Ein Barbar bin ich hier, weil ich von niemandem verstanden werde;Ovid, Tristia, V, 5,37
Beatus ille, qui procul negotiis.;Glücklich ist jener, der fern von den Geschäften ist. nach Quintus Horatius Flaccus (Horaz, 65-8 v. Chr;
Beati pauperes spiritu.;Selig die Armen im Geiste. Eine der Seligpreisungen aus der Bergpredigt, zitiert nach der Vulgata, Evangelium nach Matthäus 5, 3;
Beati possidentes.;Glücklich die Besitzenden. Römischer Rechtsgrundsatz, Corpus Iuris Civilis, Digesta 50.16,49 (Ulpian;
Bene docet, qui bene distinguit.;Gut lehrt, wer die Unterschiede klar darlegt;
Bis dat, qui cito dat.;Zwei mal gibt, wer schnell gibt;Publilius Syrus, sententiae 64
Bis repetita non placent.;Wiederholungen gefallen nicht;
Cacatum non est pictum.;Gekackt ist nicht gemalt;
Captatio benevolentiae.;Jagd nach Wohlwollen ähnlich: fishing for compliments;
Carpe diem!.;Nutze den Tag!, wörtlich: Pflücke den Tag;Horaz, Carmina I,11,8
Cave quicquam dicas, nisi quod scieris optime.;Rede nicht über etwas, was du nicht genau kennst;
Ceterum censeo Carthaginem esse delendam.;Im Übrigen bin ich der Meinung, dass Karthago zerstört werden muss!;Cicero zitiert Cato d.Ä
